track,start,end,event,channel,note,velocity,name
1,0,1024,Note_on,1,60,77,C4
1,1024,2048,Note_on,1,60,83,C4
1,2048,3072,Note_on,1,67,90,G4
1,3072,4096,Note_on,1,67,87,G4
1,4096,5120,Note_on,1,69,86,A4
1,4096,6144,Note_on,1,60,73,C4
1,6144,8192,Note_on,1,60,75,C4
1,6144,8192,Note_on,1,67,81,G4
1,8192,9216,Note_on,1,65,80,F4
1,8192,10240,Note_on,1,57,70,A3
1,9216,10240,Note_on,1,65,85,F4
1,10240,11264,Note_on,1,64,82,E4
1,11264,12288,Note_on,1,64,84,E4
1,12288,13312,Note_on,1,62,81,D4
1,13312,14336,Note_on,1,62,83,D4
1,14336,15360,Note_on,1,60,81,C4
1,15360,16384,Note_on,1,67,80,G4
1,16384,17408,Note_on,1,67,94,G4
1,17408,18432,Note_on,1,67,83,G4
1,18432,19456,Note_on,1,65,81,F4
1,18432,20480,Note_on,1,57,71,A3
1,19456,20480,Note_on,1,65,84,F4
1,20480,21504,Note_on,1,64,82,E4
1,21504,22528,Note_on,1,64,84,E4
1,22528,24576,Note_on,1,62,82,D4
1,24576,25600,Note_on,1,67,90,G4
1,25600,26624,Note_on,1,67,84,G4
1,26624,27648,Note_on,1,65,84,F4
1,26624,28672,Note_on,1,57,71,A3
1,27648,28672,Note_on,1,65,85,F4
1,28672,29696,Note_on,1,64,82,E4
1,29696,30720,Note_on,1,64,82,E4
1,30720,30976,Note_on,1,62,83,D4
1,30976,31232,Note_on,1,62,80,D4
1,31232,31488,Note_on,1,62,80,D4
1,31488,31744,Note_on,1,62,80,D4
1,31744,32000,Note_on,1,64,80,E4
1,32000,32256,Note_on,1,62,80,D4
1,32256,32512,Note_on,1,62,80,D4
1,32512,32768,Note_on,1,60,80,C4
1,32768,33792,Note_on,1,60,82,C4
1,33792,34816,Note_on,1,60,83,C4
1,34816,35840,Note_on,1,67,90,G4
1,35840,36864,Note_on,1,67,83,G4
1,36864,37888,Note_on,1,69,87,A4
1,36864,38912,Note_on,1,60,69,C4
1,38912,40960,Note_on,1,60,72,C4
1,38912,40960,Note_on,1,67,79,G4
1,40960,41984,Note_on,1,65,81,F4
1,40960,43008,Note_on,1,57,69,A3
1,41984,43008,Note_on,1,65,83,F4
1,43008,44032,Note_on,1,64,81,E4
1,44032,45056,Note_on,1,64,84,E4
1,45056,46080,Note_on,1,62,82,D4
1,46080,47104,Note_on,1,62,83,D4
1,47104,49152,Note_on,1,61,80,C#4
2,0,2048,Note_on,1,48,64,C3
2,0,2048,Note_on,1,51,63,E-3
2,2048,4096,Note_on,1,49,71,C#3
2,2048,4096,Note_on,1,60,77,C4
2,4096,6144,Note_on,1,41,66,F2
2,5120,6144,Note_on,1,69,83,A4
2,6144,8192,Note_on,1,48,71,C3
2,8192,10240,Note_on,1,41,68,F2
2,10240,12288,Note_on,1,48,76,C3
2,10240,12288,Note_on,1,55,69,G3
2,12288,14336,Note_on,1,43,69,G2
2,12288,14336,Note_on,1,55,71,G3
2,14336,16384,Note_on,1,48,75,C3
2,14336,16384,Note_on,1,52,71,E3
2,16384,18432,Note_on,1,48,72,C3
2,16384,18432,Note_on,1,60,80,C4
2,18432,20480,Note_on,1,41,68,F2
2,20480,22528,Note_on,1,44,73,G#2
2,20480,22528,Note_on,1,54,70,F#3
2,22528,24576,Note_on,1,43,72,G2
2,22528,24576,Note_on,1,55,67,G3
2,24576,26624,Note_on,1,48,73,C3
2,24576,26624,Note_on,1,60,76,C4
2,26624,28672,Note_on,1,41,68,F2
2,28672,30720,Note_on,1,43,73,G2
2,28672,30720,Note_on,1,55,70,G3
2,30720,32768,Note_on,1,43,69,G2
2,30720,32768,Note_on,1,55,70,G3
2,32768,34816,Note_on,1,48,73,C3
2,32768,34816,Note_on,1,52,69,E3
2,34816,36864,Note_on,1,48,72,C3
2,34816,36864,Note_on,1,60,80,C4
2,36864,38912,Note_on,1,41,68,F2
2,37888,38912,Note_on,1,69,81,A4
2,38912,40960,Note_on,1,48,73,C3
2,40960,43008,Note_on,1,41,68,F2
2,43008,45056,Note_on,1,48,75,C3
2,43008,45056,Note_on,1,55,70,G3
2,45056,47104,Note_on,1,44,69,G#2
2,45056,47104,Note_on,1,54,71,F#3
2,47104,49152,Note_on,1,47,74,B2
2,47104,49152,Note_on,1,51,70,E-3
