<<<<<<< HEAD
track,start,end,event,channel,note,velocity,name
1,0,1,Note_on,1,60,80,C4
1,1,1,Note_on,1,60,80,C4
1,2,2,Note_on,1,67,80,G4
1,2,3,Note_on,1,67,80,G4
1,3,4,Note_on,1,69,80,A4
1,4,4,Note_on,1,69,80,A4
1,4,6,Note_on,1,67,80,G4
1,6,7,Note_on,1,65,80,F4
1,7,7,Note_on,1,65,80,F4
1,8,8,Note_on,1,64,80,E4
1,8,9,Note_on,1,64,80,E4
1,9,10,Note_on,1,62,80,D4
1,10,10,Note_on,1,62,80,D4
1,10,12,Note_on,1,60,80,C4
1,12,13,Note_on,1,67,80,G4
1,13,13,Note_on,1,67,80,G4
1,14,14,Note_on,1,65,80,F4
1,14,15,Note_on,1,65,80,F4
1,15,16,Note_on,1,64,80,E4
1,16,16,Note_on,1,64,80,E4
1,16,18,Note_on,1,62,80,D4
1,18,19,Note_on,1,67,80,G4
1,19,19,Note_on,1,67,80,G4
1,20,20,Note_on,1,65,80,F4
1,20,20,Note_on,1,65,80,F4
1,20,21,Note_on,1,65,80,F4
1,21,22,Note_on,1,64,80,E4
1,22,22,Note_on,1,64,80,E4
1,22,24,Note_on,1,62,80,D4
1,24,25,Note_on,1,60,80,C4
1,25,25,Note_on,1,60,80,C4
1,26,26,Note_on,1,67,80,G4
1,26,27,Note_on,1,67,80,G4
1,27,28,Note_on,1,69,80,A4
1,28,28,Note_on,1,69,80,A4
1,28,30,Note_on,1,67,80,G4
1,30,31,Note_on,1,65,80,F4
1,31,31,Note_on,1,65,80,F4
1,32,32,Note_on,1,64,80,E4
1,32,33,Note_on,1,64,80,E4
1,33,34,Note_on,1,62,80,D4
1,34,34,Note_on,1,62,80,D4
1,34,36,Note_on,1,60,80,C4
=======
track,time,event,note,velocity
1,0,Note_on,60,112
1,0,Note_off,60,63
1,0,Note_on,60,112
1,1,Note_off,60,63
1,1,Note_on,67,112
1,1,Note_off,67,63
1,1,Note_on,67,112
1,2,Note_off,67,63
1,2,Note_on,69,112
1,3,Note_off,69,63
1,3,Note_on,69,112
1,3,Note_off,69,63
1,3,Note_on,67,112
1,5,Note_off,67,63
1,5,Note_on,65,112
1,5,Note_off,65,63
1,6,Note_on,65,112
1,6,Note_off,65,63
1,6,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,62,112
1,8,Note_off,62,63
1,8,Note_on,62,112
1,9,Note_off,62,63
1,9,Note_on,60,112
1,10,Note_off,60,63
1,10,Note_on,67,112
1,11,Note_off,67,63
1,11,Note_on,67,112
1,11,Note_off,67,63
1,11,Note_on,65,112
1,12,Note_off,65,63
1,12,Note_on,65,112
1,13,Note_off,65,63
1,13,Note_on,64,112
1,13,Note_off,64,63
1,13,Note_on,64,112
1,14,Note_off,64,63
1,14,Note_on,62,112
1,15,Note_off,62,63
1,15,Note_on,67,112
1,16,Note_off,67,63
1,16,Note_on,67,112
1,17,Note_off,67,63
1,17,Note_on,65,112
1,17,Note_off,65,63
1,17,Note_on,65,112
1,17,Note_off,65,63
1,17,Note_on,65,112
1,18,Note_off,65,63
1,18,Note_on,64,112
1,19,Note_off,64,63
1,19,Note_on,64,112
1,19,Note_off,64,63
1,19,Note_on,62,112
1,21,Note_off,62,63
1,21,Note_on,60,112
1,21,Note_off,60,63
1,21,Note_on,60,112
1,22,Note_off,60,63
1,22,Note_on,67,112
1,23,Note_off,67,63
1,23,Note_on,67,112
1,23,Note_off,67,63
1,23,Note_on,69,112
1,24,Note_off,69,63
1,24,Note_on,69,112
1,25,Note_off,69,63
1,25,Note_on,67,112
1,26,Note_off,67,63
1,26,Note_on,65,112
1,27,Note_off,65,63
1,27,Note_on,65,112
1,27,Note_off,65,63
1,27,Note_on,64,112
1,28,Note_off,64,63
1,28,Note_on,64,112
1,29,Note_off,64,63
1,29,Note_on,62,112
1,29,Note_off,62,63
1,29,Note_on,62,112
1,30,Note_off,62,63
1,30,Note_on,60,112
1,31,Note_off,60,63
>>>>>>> 76b43eda4a838e482ec3e223e902d84782836182
